,year,state_id,energy_source,generation_megawatthours,energy_type
1,1990,AK,Coal,510573,Conventional
2,1990,AK,Hydroelectric Conventional,974521,Green Energy
3,1990,AK,Natural Gas,3466261,Conventional
4,1990,AK,Petroleum,497116,Conventional
5,1990,AK,Wind,0,Green Energy
6,1990,AK,Wood and Wood Derived Fuels,151035,Conventional
21,1990,AL,Coal,53658115,Conventional
22,1990,AL,Hydroelectric Conventional,10366507,Green Energy
23,1990,AL,Natural Gas,1020714,Conventional
24,1990,AL,Nuclear,12051882,Green Energy
25,1990,AL,Other Biomass,47503,Conventional
26,1990,AL,Other Gases,269476,Conventional
27,1990,AL,Petroleum,138089,Conventional
28,1990,AL,Wood and Wood Derived Fuels,2099847,Conventional
50,1990,AR,Coal,19207935,Conventional
51,1990,AR,Hydroelectric Conventional,3654653,Green Energy
52,1990,AR,Natural Gas,3578573,Conventional
53,1990,AR,Nuclear,11282053,Green Energy
54,1990,AR,Other Biomass,15389,Conventional
55,1990,AR,Petroleum,79979,Conventional
56,1990,AR,Pumped Storage,42972,Green Energy
57,1990,AR,Wood and Wood Derived Fuels,1238044,Conventional
76,1990,AZ,Coal,31915610,Conventional
77,1990,AZ,Hydroelectric Conventional,7417576,Green Energy
78,1990,AZ,Natural Gas,2333900,Conventional
79,1990,AZ,Nuclear,20597689,Green Energy
80,1990,AZ,Petroleum,151867,Conventional
81,1990,AZ,Pumped Storage,249767,Green Energy
82,1990,AZ,Wood and Wood Derived Fuels,107888,Conventional
99,1990,CA,Coal,2637677,Conventional
100,1990,CA,Geothermal,14521254,Green Energy
101,1990,CA,Hydroelectric Conventional,23792567,Green Energy
102,1990,CA,Natural Gas,74168308,Conventional
103,1990,CA,Nuclear,32692807,Green Energy
105,1990,CA,Other Biomass,2117915,Conventional
106,1990,CA,Other Gases,2146742,Conventional
107,1990,CA,Petroleum,5473852,Conventional
108,1990,CA,Pumped Storage,986252,Green Energy
109,1990,CA,Solar Thermal and Photovoltaic,366668,Green Energy
110,1990,CA,Wind,2758881,Green Energy
111,1990,CA,Wood and Wood Derived Fuels,4121986,Conventional
154,1990,CO,Coal,29814983,Conventional
155,1990,CO,Hydroelectric Conventional,1419870,Green Energy
156,1990,CO,Natural Gas,1290092,Conventional
157,1990,CO,Other Biomass,28990,Conventional
158,1990,CO,Petroleum,27390,Conventional
159,1990,CO,Pumped Storage,-33198,Green Energy
180,1990,CT,Coal,3594645,Conventional
181,1990,CT,Hydroelectric Conventional,570619,Green Energy
182,1990,CT,Natural Gas,1251479,Conventional
183,1990,CT,Nuclear,19776250,Green Energy
185,1990,CT,Other Biomass,1073310,Conventional
186,1990,CT,Other Gases,4,Conventional
187,1990,CT,Petroleum,8874466,Conventional
188,1990,CT,Pumped Storage,6474,Green Energy
215,1990,D.C,Coal,0,Conventional
216,1990,D.C,Petroleum,361043,Conventional
222,1990,DE,Coal,5113479,Conventional
223,1990,DE,Natural Gas,763019,Conventional
225,1990,DE,Other Gases,164881,Conventional
226,1990,DE,Petroleum,1793806,Conventional
238,1990,FL,Coal,60100257,Conventional
239,1990,FL,Hydroelectric Conventional,174604,Green Energy
240,1990,FL,Natural Gas,18642683,Conventional
241,1990,FL,Nuclear,21779560,Green Energy
243,1990,FL,Other Biomass,1673078,Conventional
244,1990,FL,Petroleum,25535138,Conventional
245,1990,FL,Wood and Wood Derived Fuels,2144131,Conventional
272,1990,GA,Coal,68545692,Conventional
273,1990,GA,Hydroelectric Conventional,4589117,Green Energy
274,1990,GA,Natural Gas,830180,Conventional
275,1990,GA,Nuclear,24796884,Green Energy
277,1990,GA,Other Biomass,135457,Conventional
278,1990,GA,Petroleum,499480,Conventional
279,1990,GA,Pumped Storage,342110,Green Energy
280,1990,GA,Wood and Wood Derived Fuels,2947319,Conventional
304,1990,HI,Coal,2381,Conventional
305,1990,HI,Geothermal,0,Green Energy
306,1990,HI,Hydroelectric Conventional,79516,Green Energy
307,1990,HI,Other Biomass,840005,Conventional
308,1990,HI,Other Gases,16163,Conventional
309,1990,HI,Petroleum,8735862,Conventional
310,1990,HI,Wind,28825,Green Energy
331,1990,IA,Coal,25751941,Conventional
332,1990,IA,Hydroelectric Conventional,875114,Green Energy
333,1990,IA,Natural Gas,333390,Conventional
334,1990,IA,Nuclear,3011572,Green Energy
335,1990,IA,Other Biomass,18018,Conventional
336,1990,IA,Petroleum,54471,Conventional
361,1990,ID,Coal,44371,Conventional
362,1990,ID,Hydroelectric Conventional,9114990,Green Energy
363,1990,ID,Natural Gas,55714,Conventional
365,1990,ID,Petroleum,994,Conventional
366,1990,ID,Wood and Wood Derived Fuels,410203,Conventional
381,1990,IL,Coal,54966018,Conventional
382,1990,IL,Hydroelectric Conventional,143926,Green Energy
383,1990,IL,Natural Gas,1419891,Conventional
384,1990,IL,Nuclear,71887302,Green Energy
385,1990,IL,Other Biomass,154855,Conventional
386,1990,IL,Other Gases,381562,Conventional
387,1990,IL,Petroleum,438584,Conventional
388,1990,IL,Wood and Wood Derived Fuels,333,Conventional
412,1990,IN,Coal,96925554,Conventional
413,1990,IN,Hydroelectric Conventional,441021,Green Energy
414,1990,IN,Natural Gas,1470837,Conventional
415,1990,IN,Other Biomass,37117,Conventional
416,1990,IN,Other Gases,1674549,Conventional
417,1990,IN,Petroleum,868038,Conventional
434,1990,KS,Coal,23720258,Conventional
435,1990,KS,Hydroelectric Conventional,13234,Green Energy
436,1990,KS,Natural Gas,2502807,Conventional
437,1990,KS,Nuclear,7874487,Green Energy
438,1990,KS,Petroleum,74026,Conventional
439,1990,KS,Wind,45,Green Energy
453,1990,KY,Coal,70500461,Conventional
454,1990,KY,Hydroelectric Conventional,3160383,Green Energy
455,1990,KY,Natural Gas,27796,Conventional
456,1990,KY,Petroleum,118646,Conventional
463,1990,LA,Coal,17856687,Conventional
464,1990,LA,Hydroelectric Conventional,656492,Green Energy
465,1990,LA,Natural Gas,39474866,Conventional
466,1990,LA,Nuclear,14196784,Green Energy
468,1990,LA,Other Biomass,91646,Conventional
469,1990,LA,Other Gases,440700,Conventional
470,1990,LA,Petroleum,232098,Conventional
471,1990,LA,Wood and Wood Derived Fuels,2223538,Conventional
496,1990,MA,Coal,11365893,Conventional
497,1990,MA,Hydroelectric Conventional,1249242,Green Energy
498,1990,MA,Natural Gas,6132702,Conventional
499,1990,MA,Nuclear,5069620,Green Energy
500,1990,MA,Other Biomass,1560515,Conventional
501,1990,MA,Other Gases,830,Conventional
502,1990,MA,Petroleum,15101792,Conventional
503,1990,MA,Pumped Storage,-669583,Green Energy
504,1990,MA,Wood and Wood Derived Fuels,0,Conventional
535,1990,MD,Coal,23509862,Conventional
536,1990,MD,Hydroelectric Conventional,2298910,Green Energy
537,1990,MD,Natural Gas,1522443,Conventional
538,1990,MD,Nuclear,1251416,Green Energy
539,1990,MD,Other Biomass,371074,Conventional
540,1990,MD,Other Gases,488197,Conventional
541,1990,MD,Petroleum,3571272,Conventional
542,1990,MD,Wood and Wood Derived Fuels,149118,Conventional
568,1990,ME,Coal,453218,Conventional
569,1990,ME,Hydroelectric Conventional,4090536,Green Energy
570,1990,ME,Natural Gas,50786,Conventional
571,1990,ME,Nuclear,4860727,Green Energy
572,1990,ME,Other Biomass,360798,Conventional
573,1990,ME,Petroleum,3081100,Conventional
574,1990,ME,Wood and Wood Derived Fuels,3048849,Conventional
602,1990,MI,Coal,67066870,Conventional
603,1990,MI,Hydroelectric Conventional,1627918,Green Energy
604,1990,MI,Natural Gas,7837956,Conventional
605,1990,MI,Nuclear,21610500,Green Energy
606,1990,MI,Other Biomass,310842,Conventional
607,1990,MI,Other Gases,340949,Conventional
608,1990,MI,Petroleum,861725,Conventional
609,1990,MI,Pumped Storage,-694986,Green Energy
610,1990,MI,Wood and Wood Derived Fuels,1097963,Conventional
642,1990,MN,Coal,28176280,Conventional
643,1990,MN,Hydroelectric Conventional,857046,Green Energy
644,1990,MN,Natural Gas,539839,Conventional
645,1990,MN,Nuclear,12139302,Green Energy
646,1990,MN,Other Biomass,484811,Conventional
647,1990,MN,Petroleum,447814,Conventional
648,1990,MN,Wind,266,Green Energy
649,1990,MN,Wood and Wood Derived Fuels,425018,Conventional
675,1990,MO,Coal,48796793,Conventional
676,1990,MO,Hydroelectric Conventional,2192115,Green Energy
677,1990,MO,Natural Gas,312109,Conventional
678,1990,MO,Nuclear,7998039,Green Energy
679,1990,MO,Petroleum,90033,Conventional
680,1990,MO,Pumped Storage,-36259,Green Energy
697,1990,MS,Coal,9526527,Conventional
698,1990,MS,Natural Gas,5919664,Conventional
699,1990,MS,Nuclear,7422131,Green Energy
700,1990,MS,Petroleum,738971,Conventional
701,1990,MS,Wood and Wood Derived Fuels,1594124,Conventional
713,1990,MT,Coal,15119619,Conventional
714,1990,MT,Hydroelectric Conventional,10716817,Green Energy
715,1990,MT,Natural Gas,55255,Conventional
716,1990,MT,Petroleum,28982,Conventional
717,1990,MT,Wind,0,Green Energy
718,1990,MT,Wood and Wood Derived Fuels,109099,Conventional
734,1990,NC,Coal,49821595,Conventional
735,1990,NC,Hydroelectric Conventional,6819427,Green Energy
736,1990,NC,Natural Gas,203465,Conventional
737,1990,NC,Nuclear,25905319,Green Energy
739,1990,NC,Other Biomass,26270,Conventional
740,1990,NC,Petroleum,328025,Conventional
741,1990,NC,Pumped Storage,180046,Green Energy
742,1990,NC,Wood and Wood Derived Fuels,1438214,Conventional
769,1990,ND,Coal,25189003,Conventional
770,1990,ND,Hydroelectric Conventional,1711148,Green Energy
771,1990,ND,Natural Gas,51563,Conventional
772,1990,ND,Petroleum,41547,Conventional
783,1990,NE,Coal,12661150,Conventional
784,1990,NE,Hydroelectric Conventional,1140093,Green Energy
785,1990,NE,Natural Gas,308065,Conventional
786,1990,NE,Nuclear,7511298,Green Energy
787,1990,NE,Petroleum,12981,Conventional
798,1990,NH,Coal,2959203,Conventional
799,1990,NH,Hydroelectric Conventional,1881087,Green Energy
800,1990,NH,Natural Gas,0,Conventional
